LRRRLRRRLRRLRRLRLRRLRRLRRRLRRLRRRLRRRLLRRRLRRRLRRRLRLRRLRRRLRLRRRLRRRLLRLRLRRLRRLLLRRLRRLRRRLLRRRLLRRRLRLRRRLRRRLLRRLRLLRLRRRLRRLRRLRLRLRLRLRLRRRLRLRRRLLRLRRLRRRLRRRLRLRRLRLLLRLRLRLRLRLRRRLLRRLRLRLLRRRLRRLRRRLRRLRRLRRRLLRRLRLRRLRRRLRRLRLRRLRLLRRLLRLRRRLRRLRLLRRRR

RHQ = (QNL, HDC)
FVH = (LMX, SDD)
MCR = (THP, XKJ)
RFJ = (TVQ, HGJ)
MLK = (KKF, MMK)
JDL = (XXQ, BFT)
KXN = (HFS, XFM)
NJP = (MSB, PBD)
KDR = (VFC, SBM)
RKR = (MBK, RFS)
RJB = (PQK, FHB)
XTL = (LMG, LMF)
QDD = (KFF, JSD)
CFP = (VBK, XNS)
BQX = (FFP, SKX)
NSJ = (HNC, MLQ)
KQQ = (LTG, TNH)
KVN = (SSJ, LNK)
QCT = (FQQ, LLX)
LBB = (VMQ, THT)
DPQ = (PGL, GTC)
RTH = (QNQ, CMS)
QLS = (NFV, FKX)
FST = (DNQ, QJQ)
MHX = (LFT, JDL)
JLF = (CCF, JNJ)
TQJ = (VVT, TBV)
HSC = (LKR, GTS)
GHV = (NFS, RNT)
VBK = (CPT, MBX)
HVV = (CFH, QGR)
JMG = (LXR, NHP)
DDJ = (LNK, SSJ)
NKV = (HLG, TCT)
QBG = (FHB, PQK)
FKH = (DDS, JLK)
TLF = (VKH, QLQ)
NTR = (MLL, GKH)
KFF = (MDN, HCD)
NPF = (FCP, VLM)
PKP = (HXS, KGH)
DVV = (TDH, XKB)
SNM = (BJN, SGS)
JVC = (PKX, CGR)
VLB = (RDM, VBP)
RQQ = (KQQ, HHB)
SHH = (RRP, CSQ)
DPN = (HLR, LCK)
MCT = (BQG, SMV)
FNJ = (QML, TVP)
RGK = (CTF, KTS)
HNC = (VPX, PPR)
JLG = (THT, VMQ)
RJJ = (PLT, TFH)
VRK = (CMS, QNQ)
JGJ = (JLF, RFM)
RMD = (BVV, XTG)
MBB = (QTQ, MCH)
KDN = (LMF, LMG)
SPR = (KHB, BPG)
TFN = (CTT, JGH)
LXR = (VTV, GRD)
MPX = (LSD, RDD)
SDN = (FLL, XSG)
RMR = (TMB, NKV)
FJM = (STG, DLM)
HKK = (VPV, HFQ)
GQG = (JDL, LFT)
SQM = (CJM, HSN)
BFM = (LKX, LKX)
KMH = (NDL, GNG)
THT = (DXV, PHQ)
XHT = (FXG, PVN)
JCJ = (BVJ, FKM)
MBX = (CKQ, CST)
XPJ = (QHB, RKH)
NLL = (KXP, RXV)
VJD = (MBK, RFS)
SGS = (QQB, DMG)
FBS = (PQH, MCR)
XFT = (FHC, PKJ)
LXS = (GCR, FVL)
CPC = (KFS, RTM)
PKX = (CND, KFP)
TKK = (XBR, NTR)
NTJ = (QCQ, MJQ)
DVC = (TPP, FBS)
NVC = (DPN, CNF)
CFG = (TRX, VFS)
SDQ = (KMH, GFG)
GNG = (RLH, FKJ)
TXL = (XNP, XHF)
FKM = (STF, BDQ)
DDN = (NKG, CFP)
KMB = (NKG, CFP)
VQD = (TQJ, VGS)
DBX = (BGX, SSX)
QTX = (QCX, MSS)
VMN = (SDQ, DFD)
MJQ = (GGM, XSR)
VGS = (TBV, VVT)
HDC = (NNN, BNV)
FVB = (TQS, XBQ)
QML = (LDS, PVQ)
GTS = (PJK, XQP)
LLX = (QNG, RHD)
NRG = (VFK, QHK)
KVD = (MBB, TJD)
